cell,market,host,seed,check,step,epoch_equivalent,samples_seen,lr,train_reconstruction_mae,step_loss_optimized,L_rec,L_b,L_B,L_S,L_total_frozen,aux_mean,val_mae_ema,val_mae_raw,val_host_mae,val_gain_vs_host_pct,val_correction_ratio,train_correction_ratio,val_mean_abs_correction,train_mae_ema,train_host_mae,used_full_loss_at_this_step,loss_schedule,objective_switch_here,best_val_mae_ema_so_far,best_step_so_far,selected
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,0,0,0.0,0,0.001,74.71075439453125,,2.3304455280303955,0.7834678888320923,1.2672338485717773,3.4361071586608887,4.159381866455078,1.8289362986882527,77.10411071777344,77.10411071777344,77.10397338867188,-0.00017810898132349223,1.773031362972688e-05,2.2120286303106695e-05,0.001367077580653131,74.71075439453125,74.71068572998047,,L_rec_only,False,77.10411071777344,0,True
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,1,50,7.142857142857143,1600,0.001,74.71013641357422,4.061697006225586,2.3304262161254883,0.783457338809967,1.2655351161956787,3.412330150604248,4.150867462158203,1.8204408685366313,77.10647583007812,77.14253234863281,77.10397338867188,-0.0032455414374503028,0.00012738398800138384,0.0001576482754899189,0.009821811690926552,74.71012878417969,74.71068572998047,True,L_rec_plus_aux,False,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,2,100,14.285714285714286,3200,0.001,74.70756530761719,3.9793972969055176,2.33034610748291,0.7834376096725464,1.255021572113037,3.3635222911834717,4.131006717681885,1.800660490989685,77.12037658691406,77.06726837158203,77.10397338867188,-0.02127412832475046,0.0009262674138881266,0.001005028374493122,0.071418896317482,74.70757293701172,74.71068572998047,True,L_rec_plus_aux,False,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,3,150,21.428571428571427,4800,0.001,74.69843292236328,4.0370917320251465,2.330061197280884,0.7834113836288452,1.2230397462844849,3.2987873554229736,4.098474025726318,1.7684128284454346,77.14237213134766,77.13981628417969,77.10397338867188,-0.04980125016672979,0.0023763945791870356,0.0025932462885975838,0.183229461312294,74.69844055175781,74.71068572998047,True,L_rec_plus_aux,False,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,4,200,28.571428571428573,6400,0.001,74.67498779296875,3.954874277114868,2.3293299674987793,0.7833782434463501,1.165640950202942,3.23449444770813,4.057168006896973,1.7278378804524739,77.1658935546875,77.1792984008789,77.10397338867188,-0.08030736069008126,0.004528258461505175,0.004932784009724855,0.3491467237472534,74.67498779296875,74.71068572998047,True,L_rec_plus_aux,False,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,5,250,35.714285714285715,8000,0.001,74.62620544433594,3.736478090286255,2.327808141708374,0.7833455204963684,1.079862356185913,3.1722819805145264,4.006304740905762,1.6784966190656025,77.18899536132812,77.2540512084961,77.10397338867188,-0.1102692493260554,0.007655337918549776,0.008857907727360725,0.5902569890022278,74.62620544433594,74.71068572998047,True,L_rec_plus_aux,False,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,6,300,42.857142857142854,9600,0.001,74.54200744628906,3.766113758087158,2.3251819610595703,0.7833219766616821,0.983557939529419,3.1147189140319824,3.9523816108703613,1.627199610074361,77.20695495605469,77.24620819091797,77.10397338867188,-0.13356194610580546,0.011518352665007114,0.014970412477850914,0.8881107568740845,74.54200744628906,74.71068572998047,True,L_rec_plus_aux,False,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,7,350,50.0,11200,0.001,74.42213439941406,4.131819725036621,2.3214426040649414,0.7832890748977661,0.8955516815185547,3.063877820968628,3.9023489952087402,1.5809061924616497,77.22627258300781,77.33914184570312,77.10397338867188,-0.1586159428119767,0.01569543406367302,0.023146919906139374,1.2101802825927734,74.42213439941406,74.71068572998047,True,L_rec_plus_aux,False,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,8,400,57.142857142857146,12800,0.001,74.27347564697266,3.8543920516967773,2.316805601119995,0.7832428812980652,0.8221344351768494,3.018308639526367,3.858034133911133,1.5412286520004272,77.25908660888672,77.55443572998047,77.10397338867188,-0.20117409440488446,0.02037697285413742,0.03317742794752121,1.5711455345153809,74.27348327636719,74.71068572998047,True,L_rec_plus_aux,True,77.10411071777344,0,False
GANSU_DA__PatchTST,GANSU_DA,PatchTST,7,9,450,64.28571428571429,14400,0.001,74.06689453125,2.286214828491211,2.310361623764038,0.7831825017929077,0.7671427726745605,2.9828860759735107,3.821432113647461,1.511070450146993,77.28677368164062,77.28375244140625,77.10397338867188,-0.23708284402838187,0.026956064626574516,0.04620037227869034,2.0784196853637695,74.06690979003906,74.71068572998047,False,L_rec_only,False,77.10411071777344,0,False
