Timestamp,System Price,Hokkaido,Tohoku,Tokyo,Chubu,Hokuriko,Kansai,Chugoku,Shikoku,Kyushu
2006-01-01 00:00:00,9.65,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 00:30:00,9.65,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 01:00:00,9.65,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 01:30:00,9.65,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 02:00:00,9.65,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 02:30:00,9.65,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 03:00:00,9.65,8.81,8.81,8.81,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 03:30:00,8.81,8.81,8.81,8.81,9.65,9.65,9.65,9.65,9.65,9.65
2006-01-01 04:00:00,8.81,8.81,8.81,8.81,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 04:30:00,8.81,8.81,8.81,8.81,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 05:00:00,8.81,8.81,8.81,8.81,12.5,12.5,12.5,12.5,12.5,12.5
2006-01-01 05:30:00,8.81,8.81,8.81,8.81,9.65,9.65,9.65,9.65,9.65,9.65
2006-01-01 06:00:00,8.81,8.81,8.81,8.81,9.65,9.65,9.65,9.65,9.65,9.65
2006-01-01 06:30:00,8.81,8.81,8.81,8.81,9.65,9.65,9.65,9.65,9.65,9.65
2006-01-01 07:00:00,8.81,8.81,8.81,8.81,9.65,9.65,9.65,9.65,9.65,9.65
2006-01-01 07:30:00,8.81,8.81,8.81,8.81,9.65,9.65,9.65,9.65,9.65,9.65
2006-01-01 08:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 08:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 09:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 09:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 10:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 10:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 11:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 11:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 12:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 12:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 13:00:00,9.23,9.23,9.23,9.23,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 13:30:00,9.23,9.23,9.23,9.23,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 14:00:00,9.23,9.23,9.23,9.23,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 14:30:00,9.23,9.23,9.23,9.23,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 15:00:00,9.23,9.23,9.23,9.23,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 15:30:00,9.23,9.23,9.23,9.23,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 16:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 16:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 17:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 17:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 18:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 18:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 19:00:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 19:30:00,9.55,9.55,9.55,9.55,12.0,12.0,12.0,12.0,12.0,12.0
2006-01-01 20:00:00,9.55,9.55,9.55,9.55,13.99,13.99,13.99,13.99,13.99,13.99
2006-01-01 20:30:00,9.55,9.55,9.55,9.55,16.0,16.0,16.0,16.0,16.0,16.0
2006-01-01 21:00:00,9.55,9.55,9.55,9.55,13.99,13.99,13.99,13.99,13.99,13.99
2006-01-01 21:30:00,9.55,9.55,9.55,9.55,16.0,16.0,16.0,16.0,16.0,16.0
2006-01-01 22:00:00,14.0,8.9,8.9,8.9,14.5,14.5,14.5,14.5,14.5,14.5
2006-01-01 22:30:00,14.0,8.9,8.9,8.9,14.5,14.5,14.5,14.5,14.5,14.5
2006-01-01 23:00:00,9.94,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-01 23:30:00,8.9,8.9,8.9,8.9,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 00:00:00,9.9,8.94,8.94,8.94,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 00:30:00,9.9,8.94,8.94,8.94,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 01:00:00,9.9,8.94,8.94,8.94,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 01:30:00,9.9,8.94,8.94,8.94,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 02:00:00,9.9,8.94,8.94,8.94,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 02:30:00,9.9,8.86,8.86,8.86,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 03:00:00,9.81,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 03:30:00,9.0,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 04:00:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 04:30:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 05:00:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 05:30:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 06:00:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 06:30:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 07:00:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 07:30:00,8.86,8.86,8.86,8.86,9.81,9.81,9.81,9.81,9.81,9.81
2006-01-02 08:00:00,9.67,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 08:30:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 09:00:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 09:30:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 10:00:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 10:30:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 11:00:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 11:30:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 12:00:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 12:30:00,9.67,9.67,9.67,9.67,13.0,13.0,13.0,13.0,13.0,13.0
2006-01-02 13:00:00,9.23,9.23,9.23,9.23,10.23,10.23,10.23,10.23,10.23,10.23
2006-01-02 13:30:00,9.23,9.23,9.23,9.23,10.23,10.23,10.23,10.23,10.23,10.23
2006-01-02 14:00:00,9.23,9.23,9.23,9.23,10.23,10.23,10.23,10.23,10.23,10.23
2006-01-02 14:30:00,9.23,9.23,9.23,9.23,10.23,10.23,10.23,10.23,10.23,10.23
2006-01-02 15:00:00,9.23,9.23,9.23,9.23,10.23,10.23,10.23,10.23,10.23,10.23
2006-01-02 15:30:00,9.23,9.23,9.23,9.23,10.23,10.23,10.23,10.23,10.23,10.23
2006-01-02 16:00:00,9.67,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 16:30:00,9.67,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 17:00:00,9.85,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 17:30:00,9.85,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 18:00:00,9.85,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 18:30:00,9.85,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 19:00:00,9.7,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 19:30:00,9.7,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 20:00:00,9.7,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 20:30:00,9.7,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 21:00:00,9.7,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 21:30:00,9.67,9.67,9.67,9.67,10.55,10.55,10.55,10.55,10.55,10.55
2006-01-02 22:00:00,9.9,8.86,8.86,8.86,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 22:30:00,9.9,8.86,8.86,8.86,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 23:00:00,9.9,8.86,8.86,8.86,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-02 23:30:00,9.9,8.86,8.86,8.86,9.9,9.9,9.9,9.9,9.9,9.9
2006-01-03 00:00:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 00:30:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 01:00:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 01:30:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 02:00:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 02:30:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 03:00:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 03:30:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 04:00:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 04:30:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 05:00:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 05:30:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 06:00:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 06:30:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 07:00:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 07:30:00,9.0,9.0,9.0,9.0,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-03 08:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 08:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 09:00:00,9.95,9.95,9.95,9.95,10.0,10.0,10.0,10.0,10.0,10.0
2006-01-03 09:30:00,9.95,9.95,9.95,9.95,10.0,10.0,10.0,10.0,10.0,10.0
2006-01-03 10:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 10:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 11:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 11:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 12:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 12:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 13:00:00,9.5,9.5,9.5,9.5,11.23,11.23,11.23,11.23,11.23,11.23
2006-01-03 13:30:00,9.5,9.5,9.5,9.5,11.23,11.23,11.23,11.23,11.23,11.23
2006-01-03 14:00:00,9.5,9.5,9.5,9.5,11.23,11.23,11.23,11.23,11.23,11.23
2006-01-03 14:30:00,9.5,9.5,9.5,9.5,11.23,11.23,11.23,11.23,11.23,11.23
2006-01-03 15:00:00,9.5,9.5,9.5,9.5,11.23,11.23,11.23,11.23,11.23,11.23
2006-01-03 15:30:00,9.5,9.5,9.5,9.5,11.23,11.23,11.23,11.23,11.23,11.23
2006-01-03 16:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 16:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 17:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 17:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 18:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 18:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 19:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 19:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 20:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 20:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 21:00:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 21:30:00,9.95,9.95,9.95,9.95,11.55,11.55,11.55,11.55,11.55,11.55
2006-01-03 22:00:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 22:30:00,10.9,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 23:00:00,9.0,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-03 23:30:00,9.0,9.0,9.0,9.0,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-04 00:00:00,9.22,9.22,9.22,9.22,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-04 00:30:00,9.22,9.22,9.22,9.22,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-04 01:00:00,9.22,9.22,9.22,9.22,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-04 01:30:00,9.22,9.22,9.22,9.22,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-04 02:00:00,9.22,9.22,9.22,9.22,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-04 02:30:00,9.22,9.22,9.22,9.22,10.9,10.9,10.9,10.9,10.9,10.9
2006-01-04 03:00:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 03:30:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 04:00:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 04:30:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 05:00:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 05:30:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 06:00:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 06:30:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
2006-01-04 07:00:00,9.22,9.22,9.22,9.22,10.81,10.81,10.81,10.81,10.81,10.81
